username,full_text,Full Text,Case Folding,Text Cleaning,Tokenizing,Normalization,Stemming,Text Filtering,polarity_score,sentimen
PasCakrabirawa,@YRadianto Bansos g pa2 tp kalau nyoblos hanya demi lembaran rupiah ya seratus ribu mending golput kwkwkw,@YRadianto Bansos g pa2 tp kalau nyoblos hanya demi lembaran rupiah ya seratus ribu mending golput kwkwkw,@yradianto bansos g pa2 tp kalau nyoblos hanya demi lembaran rupiah ya seratus ribu mending golput kwkwkw,bansos g pa tp kalau nyoblos hanya demi lembaran rupiah ya seratus ribu mending golput kwkwkw,"['bansos', 'g', 'pa', 'tp', 'kalau', 'nyoblos', 'hanya', 'demi', 'lembaran', 'rupiah', 'ya', 'seratus', 'ribu', 'mending', 'golput', 'kwkwkw']","['bansos', 'enggak', 'apa', 'tapi', 'kalau', 'nyoblos', 'hanya', 'demi', 'lembaran', 'rupiah', 'iya', 'seratus', 'ribu', 'mending', 'golput', 'kwkwkw']","['bansos', 'enggak', 'apa', 'tapi', 'kalau', 'nyoblos', 'hanya', 'demi', 'lembar', 'rupiah', 'iya', 'ratus', 'ribu', 'mending', 'golput', 'kwkwkw']","['bansos', 'enggak', 'kalau', 'nyoblos', 'lembar', 'rupiah', 'ratus', 'ribu', 'mending', 'golput', 'kwkwkw']",0.0,netral
suhperyuta,@aikuceng @visuallyuno @mintxch0c0 yg cepirit itu ternyata golput alias golongan mput,@aikuceng @visuallyuno @mintxch0c0 yg cepirit itu ternyata golput alias golongan mput,@aikuceng @visuallyuno @mintxch0c0 yg cepirit itu ternyata golput alias golongan mput,yg cepirit itu ternyata golput alias golongan mput,"['yg', 'cepirit', 'itu', 'ternyata', 'golput', 'alias', 'golongan', 'mput']","['yang', 'cepirit', 'itu', 'ternyata', 'golput', 'alias', 'golongan', 'mput']","['yang', 'cepirit', 'itu', 'nyata', 'golput', 'alias', 'golong', 'mput']","['cepirit', 'nyata', 'golput', 'alias', 'golong', 'mput']",1.0,positif
nidufiras,Misi golput https://t.co/a7xq7hkAWR,Misi golput https://t.co/a7xq7hkAWR,misi golput https://t.co/a7xq7hkawr,misi golput,"['misi', 'golput']","['misi', 'golput']","['misi', 'golput']","['misi', 'golput']",1.0,positif
bangjads,@__PASMANTAP Lah gua golput b aja,@__PASMANTAP Lah gua golput b aja,@__pasmantap lah gua golput b aja,lah gua golput b aja,"['lah', 'gua', 'golput', 'b', 'aja']","['lah', 'gua', 'golput', 'b', 'saja']","['lah', 'gua', 'golput', 'b', 'saja']","['lah', 'gua', 'golput', 'b']",0.0,netral
dede_kendro,@Dyananjani89 Pelaku itu jelas militer.. Militer jelas Struktural... Ada Komando atasan. Atasan mungkin bukan pembunuhnya langsung. Dan atasannya juga terkait Politik saat itu. Lalu apa urusannya dg bung Karno kejauhan. Setau gue bu Marsih Golput 2019. Gak tau skg.,@Dyananjani89 Pelaku itu jelas militer.. Militer jelas Struktural... Ada Komando atasan. Atasan mungkin bukan pembunuhnya langsung. Dan atasannya juga terkait Politik saat itu. Lalu apa urusannya dg bung Karno kejauhan. Setau gue bu Marsih Golput 2019. Gak tau skg.,@dyananjani89 pelaku itu jelas militer.. militer jelas struktural... ada komando atasan. atasan mungkin bukan pembunuhnya langsung. dan atasannya juga terkait politik saat itu. lalu apa urusannya dg bung karno kejauhan. setau gue bu marsih golput 2019. gak tau skg.,pelaku itu jelas militer militer jelas struktural ada komando atasan atasan mungkin bukan pembunuhnya langsung dan atasannya juga terkait politik saat itu lalu apa urusannya dg bung karno kejauhan setau gue bu marsih golput gak tau skg,"['pelaku', 'itu', 'jelas', 'militer', 'militer', 'jelas', 'struktural', 'ada', 'komando', 'atasan', 'atasan', 'mungkin', 'bukan', 'pembunuhnya', 'langsung', 'dan', 'atasannya', 'juga', 'terkait', 'politik', 'saat', 'itu', 'lalu', 'apa', 'urusannya', 'dg', 'bung', 'karno', 'kejauhan', 'setau', 'gue', 'bu', 'marsih', 'golput', 'gak', 'tau', 'skg']","['pelaku', 'itu', 'jelas', 'militer', 'militer', 'jelas', 'struktural', 'ada', 'komando', 'atasan', 'atasan', 'mungkin', 'bukan', 'pembunuhnya', 'langsung', 'dan', 'atasannya', 'juga', 'terkait', 'politik', 'saat', 'itu', 'lalu', 'apa', 'urusannya', 'dengan', 'bung', 'karno', 'kejauhan', 'setau', 'saya', 'bu', 'marsih', 'golput', 'enggak', 'tau', 'sekarang']","['laku', 'itu', 'jelas', 'militer', 'militer', 'jelas', 'struktural', 'ada', 'komando', 'atas', 'atas', 'mungkin', 'bukan', 'bunuh', 'langsung', 'dan', 'atas', 'juga', 'kait', 'politik', 'saat', 'itu', 'lalu', 'apa', 'urus', 'dengan', 'bung', 'karno', 'jauh', 'tau', 'saya', 'bu', 'marsih', 'golput', 'enggak', 'tau', 'sekarang']","['laku', 'jelas', 'militer', 'militer', 'jelas', 'struktural', 'komando', 'atas', 'atas', 'mungkin', 'bukan', 'bunuh', 'langsung', 'atas', 'kait', 'politik', 'lalu', 'urus', 'bung', 'karno', 'jauh', 'tau', 'bu', 'marsih', 'golput', 'enggak', 'tau', 'sekarang']",-3.2,negatif
indraya04828680,@cakimiNOW Kalau PKB kesebelah buat pertimbangan kita semua for next election either golput or not vote for them karna sebagai pemilih kita mencoba memilih calon pemimpin utk yg terbaik buat bangsa tapi kalau mrk dealing dgn bagi2 kueh better no more voting.,@cakimiNOW Kalau PKB kesebelah buat pertimbangan kita semua for next election either golput or not vote for them karna sebagai pemilih kita mencoba memilih calon pemimpin utk yg terbaik buat bangsa tapi kalau mrk dealing dgn bagi2 kueh better no more voting.,@cakiminow kalau pkb kesebelah buat pertimbangan kita semua for next election either golput or not vote for them karna sebagai pemilih kita mencoba memilih calon pemimpin utk yg terbaik buat bangsa tapi kalau mrk dealing dgn bagi2 kueh better no more voting.,kalau pkb kesebelah buat pertimbangan kita semua for next election either golput or not vote for them karna sebagai pemilih kita mencoba memilih calon pemimpin utk yg terbaik buat bangsa tapi kalau mrk dealing dgn bagi kueh better no more voting,"['kalau', 'pkb', 'kesebelah', 'buat', 'pertimbangan', 'kita', 'semua', 'for', 'next', 'election', 'either', 'golput', 'or', 'not', 'vote', 'for', 'them', 'karna', 'sebagai', 'pemilih', 'kita', 'mencoba', 'memilih', 'calon', 'pemimpin', 'utk', 'yg', 'terbaik', 'buat', 'bangsa', 'tapi', 'kalau', 'mrk', 'dealing', 'dgn', 'bagi', 'kueh', 'better', 'no', 'more', 'voting']","['kalau', 'pkb', 'kesebelah', 'buat', 'pertimbangan', 'kita', 'semua', 'for', 'next', 'election', 'either', 'golput', 'orang', 'not', 'vote', 'for', 'them', 'karena', 'sebagai', 'pemilih', 'kita', 'mencoba', 'memilih', 'calon', 'pemimpin', 'untuk', 'yang', 'terbaik', 'buat', 'bangsa', 'tapi', 'kalau', 'mereka', 'dealing', 'dengan', 'bagi', 'kueh', 'better', 'no', 'more', 'voting']","['kalau', 'pkb', 'belah', 'buat', 'timbang', 'kita', 'semua', 'for', 'next', 'election', 'either', 'golput', 'orang', 'not', 'vote', 'for', 'them', 'karena', 'bagai', 'pilih', 'kita', 'coba', 'pilih', 'calon', 'pimpin', 'untuk', 'yang', 'baik', 'buat', 'bangsa', 'tapi', 'kalau', 'mereka', 'dealing', 'dengan', 'bagi', 'kueh', 'better', 'no', 'more', 'voting']","['kalau', 'pkb', 'belah', 'buat', 'timbang', 'semua', 'for', 'next', 'election', 'either', 'golput', 'orang', 'not', 'vote', 'for', 'them', 'bagai', 'pilih', 'coba', 'pilih', 'calon', 'pimpin', 'baik', 'buat', 'bangsa', 'kalau', 'dealing', 'kueh', 'better', 'no', 'more', 'voting']",-2.0,negatif
cllaritas,lantas pertanyaan selanjutnya adalah solusinya apa dong? . ya mari golput lebih massif lagi. 50%+1 seluruh warga mengambil sikap golput itu sebuah ancaman untuk elite politik. namun jangan lupa kerja-kerja pengorganisiran harus juga massif dilakukan. utopis? mari dicoba dulu.,lantas pertanyaan selanjutnya adalah solusinya apa dong? . ya mari golput lebih massif lagi. 50%+1 seluruh warga mengambil sikap golput itu sebuah ancaman untuk elite politik. namun jangan lupa kerja-kerja pengorganisiran harus juga massif dilakukan. utopis? mari dicoba dulu.,lantas pertanyaan selanjutnya adalah solusinya apa dong? . ya mari golput lebih massif lagi. 50%+1 seluruh warga mengambil sikap golput itu sebuah ancaman untuk elite politik. namun jangan lupa kerja-kerja pengorganisiran harus juga massif dilakukan. utopis? mari dicoba dulu.,lantas pertanyaan selanjutnya adalah solusinya apa dong ya mari golput lebih massif lagi seluruh warga mengambil sikap golput itu sebuah ancaman untuk elite politik namun jangan lupa kerjakerja pengorganisiran harus juga massif dilakukan utopis mari dicoba dulu,"['lantas', 'pertanyaan', 'selanjutnya', 'adalah', 'solusinya', 'apa', 'dong', 'ya', 'mari', 'golput', 'lebih', 'massif', 'lagi', 'seluruh', 'warga', 'mengambil', 'sikap', 'golput', 'itu', 'sebuah', 'ancaman', 'untuk', 'elite', 'politik', 'namun', 'jangan', 'lupa', 'kerjakerja', 'pengorganisiran', 'harus', 'juga', 'massif', 'dilakukan', 'utopis', 'mari', 'dicoba', 'dulu']","['lantas', 'pertanyaan', 'selanjutnya', 'adalah', 'solusinya', 'apa', 'dong', 'iya', 'mari', 'golput', 'lebih', 'massif', 'lagi', 'seluruh', 'warga', 'mengambil', 'sikap', 'golput', 'itu', 'sebuah', 'ancaman', 'untuk', 'elite', 'politik', 'namun', 'jangan', 'lupa', 'kerjakerja', 'pengorganisiran', 'harus', 'juga', 'massif', 'dilakukan', 'utopis', 'mari', 'dicoba', 'dulu']","['lantas', 'tanya', 'lanjut', 'adalah', 'solusi', 'apa', 'dong', 'iya', 'mari', 'golput', 'lebih', 'massif', 'lagi', 'seluruh', 'warga', 'ambil', 'sikap', 'golput', 'itu', 'buah', 'ancam', 'untuk', 'elite', 'politik', 'namun', 'jangan', 'lupa', 'kerjakerja', 'organisir', 'harus', 'juga', 'massif', 'laku', 'utopis', 'mari', 'coba', 'dulu']","['lantas', 'tanya', 'lanjut', 'solusi', 'dong', 'golput', 'massif', 'seluruh', 'warga', 'ambil', 'sikap', 'golput', 'buah', 'ancam', 'elite', 'politik', 'jangan', 'lupa', 'kerjakerja', 'organisir', 'massif', 'laku', 'utopis', 'coba', 'dulu']",0.0,netral
cllaritas,mendiskreditkan kawan-kawan yang kemarin golput dengan narasi golput itu egois golput itu apatis bla bla bla seakan-akan kalian menutup mata. iya menutup mata pada kebiasaan elite politikus kita selama ini. siapapun yang menang yang kalah tetap siap untuk dipinang.,mendiskreditkan kawan-kawan yang kemarin golput dengan narasi golput itu egois golput itu apatis bla bla bla seakan-akan kalian menutup mata. iya menutup mata pada kebiasaan elite politikus kita selama ini. siapapun yang menang yang kalah tetap siap untuk dipinang.,mendiskreditkan kawan-kawan yang kemarin golput dengan narasi golput itu egois golput itu apatis bla bla bla seakan-akan kalian menutup mata. iya menutup mata pada kebiasaan elite politikus kita selama ini. siapapun yang menang yang kalah tetap siap untuk dipinang.,mendiskreditkan kawankawan yang kemarin golput dengan narasi golput itu egois golput itu apatis bla bla bla seakanakan kalian menutup mata iya menutup mata pada kebiasaan elite politikus kita selama ini siapapun yang menang yang kalah tetap siap untuk dipinang,"['mendiskreditkan', 'kawankawan', 'yang', 'kemarin', 'golput', 'dengan', 'narasi', 'golput', 'itu', 'egois', 'golput', 'itu', 'apatis', 'bla', 'bla', 'bla', 'seakanakan', 'kalian', 'menutup', 'mata', 'iya', 'menutup', 'mata', 'pada', 'kebiasaan', 'elite', 'politikus', 'kita', 'selama', 'ini', 'siapapun', 'yang', 'menang', 'yang', 'kalah', 'tetap', 'siap', 'untuk', 'dipinang']","['mendiskreditkan', 'kawankawan', 'yang', 'kemarin', 'golput', 'dengan', 'narasi', 'golput', 'itu', 'egois', 'golput', 'itu', 'apatis', 'bla', 'bla', 'bla', 'seakanakan', 'kalian', 'menutup', 'mata', 'iya', 'menutup', 'mata', 'pada', 'kebiasaan', 'elite', 'politikus', 'kita', 'selama', 'ini', 'siapapun', 'yang', 'menang', 'yang', 'kalah', 'tetap', 'siap', 'untuk', 'dipinang']","['diskredit', 'kawankawan', 'yang', 'kemarin', 'golput', 'dengan', 'narasi', 'golput', 'itu', 'egois', 'golput', 'itu', 'apatis', 'bla', 'bla', 'bla', 'seakanakan', 'kalian', 'tutup', 'mata', 'iya', 'tutup', 'mata', 'pada', 'biasa', 'elite', 'politikus', 'kita', 'lama', 'ini', 'siapa', 'yang', 'menang', 'yang', 'kalah', 'tetap', 'siap', 'untuk', 'pinang']","['diskredit', 'kawankawan', 'kemarin', 'golput', 'narasi', 'golput', 'egois', 'golput', 'apatis', 'bla', 'bla', 'bla', 'seakanakan', 'kalian', 'tutup', 'mata', 'tutup', 'mata', 'biasa', 'elite', 'politikus', 'lama', 'siapa', 'menang', 'kalah', 'tetap', 'siap', 'pinang']",1.0,positif
Jeomngwoo,@jeoingn Karena pilihan sulit. Gapapa kan? Daripada golput.,@jeoingn Karena pilihan sulit. Gapapa kan? Daripada golput.,@jeoingn karena pilihan sulit. gapapa kan? daripada golput.,karena pilihan sulit gapapa kan daripada golput,"['karena', 'pilihan', 'sulit', 'gapapa', 'kan', 'daripada', 'golput']","['karena', 'pilihan', 'sulit', 'gapapa', 'kan', 'daripada', 'golput']","['karena', 'pilih', 'sulit', 'gapapa', 'kan', 'daripada', 'golput']","['pilih', 'sulit', 'gapapa', 'golput']",-1.0,negatif
BontotBanten,@Aldira1221 @tempodotco @ahmadsahroni88 Kalo berakhir damai (gabung tkn) udah lah gw bakal golput next election.,@Aldira1221 @tempodotco @ahmadsahroni88 Kalo berakhir damai (gabung tkn) udah lah gw bakal golput next election.,@aldira1221 @tempodotco @ahmadsahroni88 kalo berakhir damai (gabung tkn) udah lah gw bakal golput next election.,kalo berakhir damai gabung tkn udah lah gw bakal golput next election,"['kalo', 'berakhir', 'damai', 'gabung', 'tkn', 'udah', 'lah', 'gw', 'bakal', 'golput', 'next', 'election']","['kalo', 'berakhir', 'damai', 'gabung', 'tkn', 'sudah', 'lah', 'saya', 'bakal', 'golput', 'next', 'election']","['kalo', 'akhir', 'damai', 'gabung', 'tkn', 'sudah', 'lah', 'saya', 'bakal', 'golput', 'next', 'election']","['kalo', 'akhir', 'damai', 'gabung', 'tkn', 'lah', 'bakal', 'golput', 'next', 'election']",2.0,positif
justfloyd_,@tawakkaI @dinaskegelapan @xikael__ Emng seru bal asli terkait golput atau tidak golput egois atau tidak urng teu bisa ngejudge keduana karena iyeu diluar kontrol urng mungkin dengan golput adalah sebuah pilihan yg tepat menurut manehna mungkin begitu pun sabalikna,@tawakkaI @dinaskegelapan @xikael__ Emng seru bal asli terkait golput atau tidak golput egois atau tidak urng teu bisa ngejudge keduana karena iyeu diluar kontrol urng mungkin dengan golput adalah sebuah pilihan yg tepat menurut manehna mungkin begitu pun sabalikna,@tawakkai @dinaskegelapan @xikael__ emng seru bal asli terkait golput atau tidak golput egois atau tidak urng teu bisa ngejudge keduana karena iyeu diluar kontrol urng mungkin dengan golput adalah sebuah pilihan yg tepat menurut manehna mungkin begitu pun sabalikna,emng seru bal asli terkait golput atau tidak golput egois atau tidak urng teu bisa ngejudge keduana karena iyeu diluar kontrol urng mungkin dengan golput adalah sebuah pilihan yg tepat menurut manehna mungkin begitu pun sabalikna,"['emng', 'seru', 'bal', 'asli', 'terkait', 'golput', 'atau', 'tidak', 'golput', 'egois', 'atau', 'tidak', 'urng', 'teu', 'bisa', 'ngejudge', 'keduana', 'karena', 'iyeu', 'diluar', 'kontrol', 'urng', 'mungkin', 'dengan', 'golput', 'adalah', 'sebuah', 'pilihan', 'yg', 'tepat', 'menurut', 'manehna', 'mungkin', 'begitu', 'pun', 'sabalikna']","['memang', 'seru', 'bal', 'asli', 'terkait', 'golput', 'atau', 'tidak', 'golput', 'egois', 'atau', 'tidak', 'urng', 'teu', 'bisa', 'ngejudge', 'keduana', 'karena', 'iyeu', 'diluar', 'kontrol', 'urng', 'mungkin', 'dengan', 'golput', 'adalah', 'sebuah', 'pilihan', 'yang', 'tepat', 'menurut', 'manehna', 'mungkin', 'begitu', 'pun', 'sabalikna']","['memang', 'seru', 'bal', 'asli', 'kait', 'golput', 'atau', 'tidak', 'golput', 'egois', 'atau', 'tidak', 'urng', 'teu', 'bisa', 'ngejudge', 'keduana', 'karena', 'iyeu', 'luar', 'kontrol', 'urng', 'mungkin', 'dengan', 'golput', 'adalah', 'buah', 'pilih', 'yang', 'tepat', 'turut', 'manehna', 'mungkin', 'begitu', 'pun', 'sabalikna']","['memang', 'seru', 'bal', 'asli', 'kait', 'golput', 'tidak', 'golput', 'egois', 'tidak', 'urng', 'teu', 'ngejudge', 'keduana', 'iyeu', 'luar', 'kontrol', 'urng', 'mungkin', 'golput', 'buah', 'pilih', 'tepat', 'turut', 'manehna', 'mungkin', 'sabalikna']",0.5999999999999999,positif
amianggo,asliiikk galak2 maap akumaa golput dr tahun ke tahun ,asliiikk galak2 maap akumaa golput dr tahun ke tahun ,asliiikk galak2 maap akumaa golput dr tahun ke tahun ,asliiikk galak maap akumaa golput dr tahun ke tahun,"['asliiikk', 'galak', 'maap', 'akumaa', 'golput', 'dr', 'tahun', 'ke', 'tahun']","['asliiikk', 'galak', 'maaf', 'akumaa', 'golput', 'dari', 'tahun', 'ke', 'tahun']","['asliiikk', 'galak', 'maaf', 'akumaa', 'golput', 'dari', 'tahun', 'ke', 'tahun']","['asliiikk', 'galak', 'maaf', 'akumaa', 'golput', 'tahun', 'tahun']",1.0,positif
tawakkaI,@justfloyd_ @dinaskegelapan @xikael__ Asli a soalna ai ngobrolkeun masing masing alesan moal cukup dua tilu jam wkwk tapi sebenerna seru mun emang niatna hayang apal naha pada akhirna memutuskan untuk golput. Rumasa bahwa teu bisa diselametkeun ku sasaha ge atau nya moal dibere nanaon atau naon deui wkwk,@justfloyd_ @dinaskegelapan @xikael__ Asli a soalna ai ngobrolkeun masing masing alesan moal cukup dua tilu jam wkwk tapi sebenerna seru mun emang niatna hayang apal naha pada akhirna memutuskan untuk golput. Rumasa bahwa teu bisa diselametkeun ku sasaha ge atau nya moal dibere nanaon atau naon deui wkwk,@justfloyd_ @dinaskegelapan @xikael__ asli a soalna ai ngobrolkeun masing masing alesan moal cukup dua tilu jam wkwk tapi sebenerna seru mun emang niatna hayang apal naha pada akhirna memutuskan untuk golput. rumasa bahwa teu bisa diselametkeun ku sasaha ge atau nya moal dibere nanaon atau naon deui wkwk,asli a soalna ai ngobrolkeun masing masing alesan moal cukup dua tilu jam wkwk tapi sebenerna seru mun emang niatna hayang apal naha pada akhirna memutuskan untuk golput rumasa bahwa teu bisa diselametkeun ku sasaha ge atau nya moal dibere nanaon atau naon deui wkwk,"['asli', 'a', 'soalna', 'ai', 'ngobrolkeun', 'masing', 'masing', 'alesan', 'moal', 'cukup', 'dua', 'tilu', 'jam', 'wkwk', 'tapi', 'sebenerna', 'seru', 'mun', 'emang', 'niatna', 'hayang', 'apal', 'naha', 'pada', 'akhirna', 'memutuskan', 'untuk', 'golput', 'rumasa', 'bahwa', 'teu', 'bisa', 'diselametkeun', 'ku', 'sasaha', 'ge', 'atau', 'nya', 'moal', 'dibere', 'nanaon', 'atau', 'naon', 'deui', 'wkwk']","['asli', 'a', 'soalna', 'ai', 'ngobrolkeun', 'masing', 'masing', 'alesan', 'moal', 'cukup', 'dua', 'tilu', 'jam', 'wkwk', 'tapi', 'sebenerna', 'seru', 'mun', 'memang', 'niatna', 'hayang', 'hapal', 'naha', 'pada', 'akhirna', 'memutuskan', 'untuk', 'golput', 'rumasa', 'bahwa', 'teu', 'bisa', 'diselametkeun', 'ku', 'sasaha', 'ge', 'atau', 'nya', 'moal', 'dibere', 'nanaon', 'atau', 'naon', 'deui', 'wkwk']","['asli', 'a', 'soalna', 'ai', 'ngobrolkeun', 'masing', 'masing', 'alesan', 'moal', 'cukup', 'dua', 'tilu', 'jam', 'wkwk', 'tapi', 'sebenerna', 'seru', 'mun', 'memang', 'niatna', 'hayang', 'hapal', 'naha', 'pada', 'akhirna', 'putus', 'untuk', 'golput', 'rumasa', 'bahwa', 'teu', 'bisa', 'diselametkeun', 'ku', 'sasaha', 'ge', 'atau', 'nya', 'moal', 'dibere', 'nanaon', 'atau', 'naon', 'deui', 'wkwk']","['asli', 'a', 'soalna', 'ai', 'ngobrolkeun', 'masing', 'masing', 'alesan', 'moal', 'cukup', 'tilu', 'jam', 'wkwk', 'sebenerna', 'seru', 'mun', 'memang', 'niatna', 'hayang', 'hapal', 'naha', 'akhirna', 'putus', 'golput', 'rumasa', 'teu', 'diselametkeun', 'ku', 'sasaha', 'ge', 'nya', 'moal', 'dibere', 'nanaon', 'naon', 'deui', 'wkwk']",0.0,netral
tawakkaI,@dinaskegelapan @justfloyd_ @xikael__ Ai hemat urang mah golput rek alesan na ikut ikutan atau anti pemerintah atau bodo amat mah sarua keneh bisa disebut ego. Tapi bieu nanya lain rek nge tes atau kumaha nya pure rek apal weh pov ti batur kumaha. Other than that let s agree to disagree aja bos,@dinaskegelapan @justfloyd_ @xikael__ Ai hemat urang mah golput rek alesan na ikut ikutan atau anti pemerintah atau bodo amat mah sarua keneh bisa disebut ego. Tapi bieu nanya lain rek nge tes atau kumaha nya pure rek apal weh pov ti batur kumaha. Other than that let s agree to disagree aja bos,@dinaskegelapan @justfloyd_ @xikael__ ai hemat urang mah golput rek alesan na ikut ikutan atau anti pemerintah atau bodo amat mah sarua keneh bisa disebut ego. tapi bieu nanya lain rek nge tes atau kumaha nya pure rek apal weh pov ti batur kumaha. other than that let s agree to disagree aja bos,ai hemat urang mah golput rek alesan na ikut ikutan atau anti pemerintah atau bodo amat mah sarua keneh bisa disebut ego tapi bieu nanya lain rek nge tes atau kumaha nya pure rek apal weh pov ti batur kumaha other than that let s agree to disagree aja bos,"['ai', 'hemat', 'urang', 'mah', 'golput', 'rek', 'alesan', 'na', 'ikut', 'ikutan', 'atau', 'anti', 'pemerintah', 'atau', 'bodo', 'amat', 'mah', 'sarua', 'keneh', 'bisa', 'disebut', 'ego', 'tapi', 'bieu', 'nanya', 'lain', 'rek', 'nge', 'tes', 'atau', 'kumaha', 'nya', 'pure', 'rek', 'apal', 'weh', 'pov', 'ti', 'batur', 'kumaha', 'other', 'than', 'that', 'let', 's', 'agree', 'to', 'disagree', 'aja', 'bos']","['ai', 'hemat', 'urang', 'mah', 'golput', 'rek', 'alesan', 'nya', 'ikut', 'ikutan', 'atau', 'anti', 'pemerintah', 'atau', 'bodo', 'amat', 'mah', 'sarua', 'keneh', 'bisa', 'disebut', 'ego', 'tapi', 'bieu', 'bertanya', 'lain', 'rek', 'nge', 'tes', 'atau', 'kumaha', 'nya', 'pure', 'rek', 'hapal', 'weh', 'pov', 'ti', 'batur', 'kumaha', 'other', 'tahan', 'that', 'let', 'si', 'agree', 'tapi', 'disagree', 'saja', 'bos']","['ai', 'hemat', 'urang', 'mah', 'golput', 'rek', 'alesan', 'nya', 'ikut', 'ikut', 'atau', 'anti', 'perintah', 'atau', 'bodo', 'amat', 'mah', 'sarua', 'keneh', 'bisa', 'sebut', 'ego', 'tapi', 'bieu', 'tanya', 'lain', 'rek', 'nge', 'tes', 'atau', 'maha', 'nya', 'pure', 'rek', 'hapal', 'weh', 'pov', 'ti', 'batur', 'maha', 'other', 'tahan', 'that', 'let', 'si', 'agree', 'tapi', 'disagree', 'saja', 'bos']","['ai', 'hemat', 'urang', 'mah', 'golput', 'rek', 'alesan', 'nya', 'ikut', 'ikut', 'anti', 'perintah', 'bodo', 'mah', 'sarua', 'keneh', 'sebut', 'ego', 'bieu', 'tanya', 'rek', 'nge', 'tes', 'maha', 'nya', 'pure', 'rek', 'hapal', 'weh', 'pov', 'ti', 'batur', 'maha', 'other', 'tahan', 'that', 'let', 'si', 'agree', 'disagree', 'bos']",0.0,netral
justfloyd_,@dinaskegelapan @tawakkaI @xikael__ Setuju teu mun urng ngomong golput atau tidak golput adalah sebuah keegoisan? Terlepas alesan apapun yang beresiko terhadap iyeu pertanyaan.,@dinaskegelapan @tawakkaI @xikael__ Setuju teu mun urng ngomong golput atau tidak golput adalah sebuah keegoisan? Terlepas alesan apapun yang beresiko terhadap iyeu pertanyaan.,@dinaskegelapan @tawakkai @xikael__ setuju teu mun urng ngomong golput atau tidak golput adalah sebuah keegoisan? terlepas alesan apapun yang beresiko terhadap iyeu pertanyaan.,setuju teu mun urng ngomong golput atau tidak golput adalah sebuah keegoisan terlepas alesan apapun yang beresiko terhadap iyeu pertanyaan,"['setuju', 'teu', 'mun', 'urng', 'ngomong', 'golput', 'atau', 'tidak', 'golput', 'adalah', 'sebuah', 'keegoisan', 'terlepas', 'alesan', 'apapun', 'yang', 'beresiko', 'terhadap', 'iyeu', 'pertanyaan']","['setuju', 'teu', 'mun', 'urng', 'mengomong', 'golput', 'atau', 'tidak', 'golput', 'adalah', 'sebuah', 'keegoisan', 'terlepas', 'alesan', 'apapun', 'yang', 'beresiko', 'terhadap', 'iyeu', 'pertanyaan']","['tuju', 'teu', 'mun', 'urng', 'omong', 'golput', 'atau', 'tidak', 'golput', 'adalah', 'buah', 'egois', 'lepas', 'alesan', 'apa', 'yang', 'resiko', 'hadap', 'iyeu', 'tanya']","['tuju', 'teu', 'mun', 'urng', 'omong', 'golput', 'tidak', 'golput', 'buah', 'egois', 'lepas', 'alesan', 'resiko', 'hadap', 'iyeu', 'tanya']",-0.19999999999999996,negatif
